VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
1,2019-01-01 00:57:32,2019-01-01 01:07:28,0,2.0,1,N,43,233,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,,,
1,2019-01-01 00:54:14,2019-01-01 01:03:45,0,2.1,1,N,170,141,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,,,
1,2019-01-01 00:29:22,2019-01-01 00:36:32,2,0.0,1,N,114,234,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,,,,
1,2019-01-01 00:44:30,2019-01-01 00:51:31,4,0.0,1,N,234,170,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,,,,
1,2019-01-01 00:54:06,2019-01-01 01:03:44,1,0.0,1,N,170,162,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,,,,
2,2019-01-01 00:35:44,2019-01-01 00:35:48,1,0.0,5,N,244,244,1,7.0,0.0,0.0,0.0,0.0,0.3,7.3,,,,,
1,2019-01-01 00:26:06,2019-01-01 00:27:04,1,0.0,5,Y,265,265,3,0.01,0.0,0.0,0.0,0.0,0.3,0.31,,,,,
1,2019-01-01 00:12:30,2019-01-01 00:18:51,0,1.5,1,N,263,162,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,,,,
1,2019-01-01 00:33:43,2019-01-01 00:45:06,0,2.1,1,N,137,141,1,10.0,0.5,0.5,3.35,0.0,0.3,14.65,,,,,
1,2019-01-01 00:48:44,2019-01-01 00:58:21,0,1.5,1,N,237,170,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,,,,
1,2019-01-01 00:17:44,2019-01-01 00:29:36,0,2.5,1,N,43,24,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,,,,,
1,2019-01-01 00:46:30,2019-01-01 00:55:18,0,1.7,1,N,143,151,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,,,,,
1,2019-01-01 00:56:39,2019-01-01 01:04:06,0,1.2,1,N,151,239,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,,,,,
1,2019-01-01 00:30:31,2019-01-01 00:38:37,0,1.6,1,N,229,141,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,,,,,
1,2019-01-01 00:57:51,2019-01-01 01:09:31,0,2.8,1,N,107,236,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,,,,,
1,2019-01-01 00:25:48,2019-01-01 00:33:55,0,1.7,1,N,237,263,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6,,,,,
1,2019-01-01 00:39:56,2019-01-01 00:45:44,0,1.5,1,N,263,75,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,,,,
1,2019-01-01 00:51:06,2019-01-01 01:11:17,0,3.9,1,N,238,170,1,16.5,0.5,0.5,2.0,0.0,0.3,19.8,,,,,
1,2019-01-01 00:29:48,2019-01-01 00:31:13,1,0.0,1,N,262,262,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,,,,
